x y
0.0 0.5975494279387997
1.0 0.12226517724285725
2.0 0.06367785158447069
3.0 0.03806859038709356
4.0 0.026791117566230233
5.0 0.020134275970581744
6.0 0.016510391080544223
7.0 0.01321400855777925
8.0 0.00976099446805784
9.0 0.008522181165766035
10.0 0.006955865496201684
11.0 0.006215425361498537
12.0 0.00568145411051069
13.0 0.005809607210747773
14.0 0.004905415892408353
15.0 0.004620631225214835
16.0 0.004108018824266501
17.0 0.0034886121731205993
18.0 0.003460133706401247
19.0 0.0032892629060851364
20.0 0.0031468705724883774
21.0 0.0032892629060851364
22.0 0.002790889738496479
23.0 0.002897683988694049
24.0 0.0025915404714610167
25.0 0.0025844208547811786
26.0 0.002641377788219882
27.0 0.0027980093551763173
28.0 0.0032180667392867567
29.0 0.003986985340709256
30.0 0.005026449375965598
