x y
0.0 0.0762939453125
1.0 0.553131103515625
2.0 0.8106231689453125
2.0 1.02996826171875
3.0 1.2373924255371094
3.0 1.4352798461914062
3.0 1.6260147094726562
4.0 1.8167495727539062
4.0 2.0051002502441406
4.0 2.193450927734375
4.0 2.384185791015625
4.0 2.5725364685058594
5.0 2.765655517578125
5.0 2.9587745666503906
5.0 3.1566619873046875
5.0 3.35693359375
6.0 3.5572052001953125
6.0 3.7622451782226562
6.0 3.9720535278320312
6.0 4.1866302490234375
6.0 4.405975341796875
7.0 4.6253204345703125
7.0 4.8542022705078125
7.0 5.0830841064453125
7.0 5.321502685546875
8.0 5.5599212646484375
8.0 5.8078765869140625
8.0 6.060600280761719
8.0 6.3228607177734375
8.0 6.585121154785156
9.0 6.8569183349609375
9.0 7.138252258300781
9.0 7.424354553222656
9.0 7.7152252197265625
10.0 8.020401000976562
10.0 8.330345153808594
10.0 8.649826049804688
10.0 8.974075317382812
11.0 9.312629699707031
11.0 9.660720825195312
11.0 10.013580322265625
11.0 10.385513305664062
12.0 10.762214660644531
12.0 11.148452758789062
12.0 11.55853271484375
12.0 11.968612670898438
13.0 12.39776611328125
13.0 12.845993041992188
13.0 13.303756713867188
14.0 13.77105712890625
14.0 14.2669677734375
14.0 14.772415161132812
15.0 15.29693603515625
15.0 15.850067138671875
16.0 16.412734985351562
16.0 17.004013061523438
16.0 17.614364624023438
17.0 18.253326416015625
17.0 18.911361694335938
18.0 19.6075439453125
18.0 20.322799682617188
19.0 21.076202392578125
19.0 21.85821533203125
20.0 22.678375244140625
21.0 23.53668212890625
21.0 24.433135986328125
22.0 25.386810302734375
23.0 26.378631591796875
23.0 27.408599853515625
24.0 28.514862060546875
25.0 29.6783447265625
26.0 30.8990478515625
27.0 32.196044921875
28.0 33.5693359375
29.0 35.037994384765625
30.0 36.58294677734375
31.0 38.26141357421875
32.0 40.0543212890625
33.0 41.961669921875
35.0 43.98345947265625
36.0 46.234130859375
37.0 48.5992431640625
39.0 51.23138427734375
40.0 54.0924072265625
41.0 57.220458984375
43.0 60.6536865234375
45.0 64.4683837890625
47.0 68.817138671875
50.0 73.6236572265625
53.0 79.1168212890625
57.0 85.44921875
64.0 92.7734375
79.0 101.470947265625
97.0 111.99951171875
115.0 125.1220703125
138.0 141.90673828125
181.0 164.48974609375
207.0 197.1435546875
234.0 251.46484375
300.0 366.2109375
