x log_normal
0.0 0.0008352888118553394
1.0 0.011489787466267692
2.0 0.020510109732727988
3.0 0.025930744797339943
4.0 0.0288418569812812
5.0 0.030160945126406657
6.0 0.030485816122796515
7.0 0.030193119440468253
8.0 0.029521075850229055
9.0 0.02862205791109592
10.0 0.027594580633077917
11.0 0.026502816795092164
12.0 0.025388684611114026
13.0 0.024279472630543694
14.0 0.023192737003740093
15.0 0.02213949960738388
16.0 0.02112636775982175
17.0 0.02015695742710452
18.0 0.019232859337239904
19.0 0.0183543007758531
20.0 0.017520602157796165
21.0 0.016730493622703076
22.0 0.015982335207307245
23.0 0.015274270027952725
24.0 0.01460433058811296
25.0 0.013970512095919586
26.0 0.013370822462455105
27.0 0.012803315769849126
28.0 0.012266114008193935
29.0 0.011757420493673447
30.0 0.011275527406239803
31.0 0.010818819195894362
32.0 0.010385773115668554
33.0 0.00997495778766384
34.0 0.009585030455243344
35.0 0.009214733391320992
36.0 0.00886288979978853
37.0 0.008528399450415797
38.0 0.008210234217068872
39.0 0.007907433637666935
40.0 0.007619100576796958
41.0 0.007344397044601054
42.0 0.0070825402057368
43.0 0.006832798597906862
44.0 0.006594488569210125
45.0 0.006366970936313885
46.0 0.006149647860397436
47.0 0.005941959934387867
48.0 0.005743383472766605
49.0 0.005553427993848857
50.0 0.005371633883688968
51.0 0.005197570230465413
52.0 0.005030832818217885
53.0 0.004871042269048215
54.0 0.004717842323284298
55.0 0.0045708982475889046
56.0 0.00442989536153424
57.0 0.004294537673730146
58.0 0.004164546619168997
59.0 0.004039659890019129
60.0 0.0039196303526512774
61.0 0.00380422504421289
62.0 0.0036932242425685925
63.0 0.003586420603899851
64.0 0.0034836183627017024
65.0 0.0033846325893291305
66.0 0.0032892885006311555
67.0 0.003197420819567646
68.0 0.003108873180033766
69.0 0.003023497573421169
70.0 0.002941153833725185
71.0 0.0028617091582649207
72.0 0.0027850376613197877
73.0 0.0027110199582033694
74.0 0.002639542777494878
75.0 0.0025704985993312748
76.0 0.0025037853178308746
77.0 0.0024393059258728624
78.0 0.0023769682205980946
79.0 0.002316684528125711
80.0 0.00225837144609843
81.0 0.002201949602778003
82.0 0.0021473434315118296
83.0 0.0020944809594830326
84.0 0.002043293609740072
85.0 0.001993716015578894
86.0 0.0019456858464211677
87.0 0.0018991436443969976
88.0 0.0018540326709000912
89.0 0.0018102987624381054
90.0 0.0017678901951512199
91.0 0.001726757557418321
92.0 0.0016868536300128163
93.0 0.0016481332733093259
94.0 0.0016105533210786405
95.0 0.0015740724804417328
96.0 0.001538651237584209
97.0 0.0015042517688610485
98.0 0.0014708378569475587
