x y
0.0 0.00476837158203125
1.0 0.34332275390625
2.0 0.6103515625
2.0 0.8630752563476562
3.0 1.1014938354492188
3.0 1.3399124145507812
3.0 1.5687942504882812
4.0 1.7952919006347656
4.0 2.02178955078125
4.0 2.2411346435546875
4.0 2.4652481079101562
4.0 2.6845932006835938
5.0 2.9087066650390625
5.0 3.1280517578125
5.0 3.3521652221679688
5.0 3.5715103149414062
6.0 3.795623779296875
6.0 4.019737243652344
6.0 4.2438507080078125
6.0 4.467964172363281
6.0 4.696846008300781
7.0 4.92095947265625
7.0 5.154609680175781
7.0 5.383491516113281
7.0 5.6171417236328125
8.0 5.850791931152344
8.0 6.089210510253906
8.0 6.327629089355469
8.0 6.5708160400390625
8.0 6.814002990722656
9.0 7.05718994140625
9.0 7.305145263671875
9.0 7.557868957519531
9.0 7.8105926513671875
10.0 8.068084716796875
10.0 8.325576782226562
10.0 8.592605590820312
10.0 8.854866027832031
11.0 9.126663208007812
11.0 9.398460388183594
11.0 9.675025939941406
11.0 9.95635986328125
12.0 10.242462158203125
12.0 10.528564453125
12.0 10.824203491210938
12.0 11.119842529296875
13.0 11.420249938964844
13.0 11.730194091796875
13.0 12.040138244628906
14.0 12.359619140625
14.0 12.679100036621094
14.0 13.00811767578125
15.0 13.341903686523438
15.0 13.685226440429688
16.0 14.028549194335938
16.0 14.386177062988281
16.0 14.743804931640625
17.0 15.115737915039062
17.0 15.492439270019531
18.0 15.878677368164062
18.0 16.269683837890625
19.0 16.67499542236328
19.0 17.08984375
20.0 17.50946044921875
21.0 17.948150634765625
21.0 18.3868408203125
22.0 18.8446044921875
23.0 19.311904907226562
23.0 19.79827880859375
24.0 20.294189453125
25.0 20.809173583984375
26.0 21.343231201171875
27.0 21.886825561523438
28.0 22.449493408203125
29.0 23.040771484375
30.0 23.651123046875
31.0 24.280548095703125
32.0 24.938583374023438
33.0 25.625228881835938
35.0 26.340484619140625
36.0 27.093887329101562
37.0 27.88543701171875
39.0 28.705596923828125
40.0 29.582977294921875
41.0 30.517578125
43.0 31.490325927734375
45.0 32.53936767578125
47.0 33.68377685546875
50.0 34.885406494140625
53.0 36.20147705078125
57.0 37.65106201171875
64.0 39.234161376953125
79.0 41.00799560546875
97.0 43.02978515625
115.0 45.318603515625
138.0 48.065185546875
181.0 51.3458251953125
207.0 55.694580078125
234.0 61.6455078125
300.0 72.021484375
