x y
0.0 0.00476837158203125
1.0 0.30040740966796875
2.0 0.5578994750976562
2.0 0.80108642578125
3.0 1.0442733764648438
3.0 1.277923583984375
3.0 1.506805419921875
4.0 1.7404556274414062
4.0 1.9693374633789062
4.0 2.193450927734375
4.0 2.422332763671875
4.0 2.651214599609375
5.0 2.8753280639648438
5.0 3.1042098999023438
5.0 3.3330917358398438
5.0 3.5619735717773438
6.0 3.7908554077148438
6.0 4.024505615234375
6.0 4.253387451171875
6.0 4.487037658691406
6.0 4.7206878662109375
7.0 4.9591064453125
7.0 5.1975250244140625
7.0 5.435943603515625
7.0 5.679130554199219
8.0 5.9223175048828125
8.0 6.165504455566406
8.0 6.413459777832031
8.0 6.661415100097656
8.0 6.9141387939453125
9.0 7.166862487792969
9.0 7.424354553222656
9.0 7.686614990234375
9.0 7.9441070556640625
10.0 8.211135864257812
10.0 8.478164672851562
10.0 8.749961853027344
10.0 9.026527404785156
11.0 9.303092956542969
11.0 9.584426879882812
11.0 9.865760803222656
11.0 10.156631469726562
12.0 10.447502136230469
12.0 10.743141174316406
12.0 11.043548583984375
12.0 11.348724365234375
13.0 11.658668518066406
13.0 11.973381042480469
13.0 12.292861938476562
14.0 12.617111206054688
14.0 12.946128845214844
14.0 13.284683227539062
15.0 13.623237609863281
15.0 13.971328735351562
16.0 14.324188232421875
16.0 14.68658447265625
16.0 15.048980712890625
17.0 15.420913696289062
17.0 15.807151794433594
18.0 16.193389892578125
18.0 16.59393310546875
19.0 17.004013061523438
19.0 17.418861389160156
20.0 17.843246459960938
21.0 18.281936645507812
21.0 18.73016357421875
22.0 19.18792724609375
23.0 19.664764404296875
23.0 20.1416015625
24.0 20.647048950195312
25.0 21.162033081054688
26.0 21.686553955078125
27.0 22.230148315429688
28.0 22.792816162109375
29.0 23.38409423828125
30.0 23.984909057617188
31.0 24.614334106445312
32.0 25.262832641601562
33.0 25.93994140625
35.0 26.645660400390625
36.0 27.3895263671875
37.0 28.171539306640625
39.0 28.982162475585938
40.0 29.840469360351562
41.0 30.7464599609375
43.0 31.70013427734375
45.0 32.7301025390625
47.0 33.83636474609375
50.0 34.999847412109375
53.0 36.27777099609375
57.0 37.670135498046875
64.0 39.215087890625
79.0 40.8935546875
97.0 42.8009033203125
115.0 45.013427734375
138.0 47.607421875
181.0 50.7354736328125
207.0 54.779052734375
234.0 60.4248046875
300.0 69.88525390625
