x log_normal gamma weibull
0.25 0.004765582847507863 0.013304064034271324 0.013303293182886146
0.5 0.022032908410289983 0.03876965504848477 0.04669458098013571
0.75 0.03569184542395182 0.044142630449062706 0.04798889826028208
1.0 0.043488742647504706 0.046082625123974395 0.047594192511248565
1.25 0.04701046492749912 0.04641011580306704 0.04648035151211476
1.5 0.04781813628367415 0.04582446208841767 0.04498955236795554
1.75 0.04699588582266867 0.044682098960578676 0.04328857023568902
2.0 0.04523952314372938 0.04319198473413725 0.04147267065315907
2.25 0.04298457552027559 0.04148703848391787 0.039601500264861714
2.5 0.040500586745521386 0.039656238777261564 0.03771456967857005
2.75 0.037952590296111706 0.037761121011237284 0.03583897212478098
3.0 0.035439882965999044 0.03584510263397662 0.033993648965875665
3.25 0.03302033323678873 0.0339391412749229 0.03219193663543143
3.5 0.030725674115261732 0.03206536025858993 0.030443181832262516
3.75 0.028571187791066276 0.030239473613146838 0.02875381616118854
4.0 0.026561881112055673 0.02847246477196372 0.027128099413437787
4.25 0.024696446011120712 0.026771781378536745 0.025568650218871322
4.5 0.022969808619808033 0.025142205138174684 0.024076834897106766
4.75 0.021374771164370514 0.023586496912312998 0.022653058583599405
5.0 0.019903066153981002 0.022105882413257696 0.021296987078445746
5.25 0.018546027472968445 0.020700422409546167 0.020007718372284593
5.5 0.017295010671558052 0.01936929771057435 0.01878391683691304
5.75 0.01614164872900046 0.018111030270442717 0.01762391920337239
6.0 0.015077999967956165 0.016923655756873067 0.01652581887877724
6.25 0.01409662558061684 0.015804858815140467 0.015487533400506213
6.5 0.013190621636023091 0.014752079373048 0.014506858605519537
6.75 0.012353622123771835 0.013762596275256686 0.013581512225169299
7.0 0.011579784061599652 0.01283359304284748 0.012709168988374495
7.25 0.010863761998358508 0.011962209455417181 0.01188748885453215
7.5 0.01020067676171287 0.011145581833455312 0.011114139652935142
7.75 0.00958608162777887 0.010380874279879975 0.010386815144545722
8.0 0.009015927961863191 0.009665302667112853 0.009703249321864126
8.25 0.008486531618721446 0.008996152791704435 0.009061227607339989
8.5 0.00799454087910016 0.008370793834977894 0.008458595488948936
8.75 0.007536906357115318 0.007786688045693024 0.007893265035028794
9.0 0.007110853086308678 0.007241397384880693 0.007363219653283015
9.25 0.006713854844284512 0.006732587733056867 0.006866517396619562
9.5 0.00634361068155796 0.006258031147982147 0.006401293067921715
9.75 0.005998023562420781 0.005815606570935547 0.00596575933446813
10.0 0.005675180992412738 0.005403299306504038 0.005558207028647857
10.25 0.00537333749022923 0.005019199541603493 0.005177004783399882
10.5 0.005090898755989132 0.004661500121090524 0.004820598127319654
10.75 0.004826407388878492 0.00432849375774953 0.004487508144733669
11.0 0.004578530012636064 0.004018569821956223 0.004176329789550462
11.25 0.004346045675359918 0.003730210829589478 0.0038857299277971205
11.5 0.004127835399478513 0.003461988724723898 0.0036144451719997174
11.75 0.0039228727676386054 0.003212561035432086 0.0033612795606045177
12.0 0.003730215440190799 0.0029806669659726026 0.003125102127172264
12.25 0.003548997509569275 0.0027651234761809293 0.002904844396871433
12.5 0.0033784226059665762 0.002564821388565659 0.002699497841651621
12.75 0.003217757677187922 0.0023787215550717476 0.0025081113202325583
