x y
-32.0 0.0
-31.958333333333332 0.0
-31.916666666666668 0.0
-31.875 0.0
-31.833333333333332 0.0
-31.791666666666668 6.754931099702783e-06
-31.75 0.0
-31.708333333333332 0.0
-31.666666666666668 0.0
-31.625 0.0
-31.583333333333332 0.0
-31.541666666666668 0.0
-31.5 0.0
-31.458333333333332 0.0
-31.416666666666668 0.0
-31.375 0.0
-31.333333333333332 0.0
-31.291666666666668 0.0
-31.25 0.0
-31.208333333333332 0.0
-31.166666666666668 0.0
-31.125 6.754931099702783e-06
-31.083333333333332 0.0
-31.041666666666668 0.0
-31.0 0.0
-30.958333333333332 1.3509862199405566e-05
-30.916666666666668 0.0
-30.875 6.754931099702783e-06
-30.833333333333332 6.754931099702783e-06
-30.791666666666668 0.0
-30.75 6.754931099702783e-06
-30.708333333333332 0.0
-30.666666666666668 0.0
-30.625 0.0
-30.583333333333332 0.0
-30.541666666666668 0.0
-30.5 0.0
-30.458333333333332 0.0
-30.416666666666668 0.0
-30.375 0.0
-30.333333333333332 0.0
-30.291666666666668 0.0
-30.25 0.0
-30.208333333333332 0.0
-30.166666666666668 0.0
-30.125 6.754931099702783e-06
-30.083333333333332 1.3509862199405566e-05
-30.041666666666668 6.754931099702783e-06
-30.0 0.0
-29.958333333333332 0.0
-29.916666666666668 6.754931099702783e-06
-29.875 0.0
-29.833333333333332 0.0
-29.791666666666668 6.754931099702783e-06
-29.75 0.0
-29.708333333333332 0.0
-29.666666666666668 0.0
-29.625 6.754931099702783e-06
-29.583333333333332 0.0
-29.541666666666668 0.0
-29.5 0.0
-29.458333333333332 0.0
-29.416666666666668 0.0
-29.375 0.0
-29.333333333333332 6.754931099702783e-06
-29.291666666666668 0.0
-29.25 0.0
-29.208333333333332 6.754931099702783e-06
-29.166666666666668 0.0
-29.125 6.754931099702783e-06
-29.083333333333332 0.0
-29.041666666666668 0.0
-29.0 0.0
-28.958333333333332 6.754931099702783e-06
-28.916666666666668 0.0
-28.875 0.0
-28.833333333333332 1.3509862199405566e-05
-28.791666666666668 0.0
-28.75 6.754931099702783e-06
-28.708333333333332 0.0
-28.666666666666668 0.0
-28.625 0.0
-28.583333333333332 0.0
-28.541666666666668 0.0
-28.5 0.0
-28.458333333333332 0.0
-28.416666666666668 0.0
-28.375 0.0
-28.333333333333332 0.0
-28.291666666666668 0.0
-28.25 0.0
-28.208333333333332 0.0
-28.166666666666668 6.754931099702783e-06
-28.125 1.3509862199405566e-05
-28.083333333333332 6.754931099702783e-06
-28.041666666666668 0.0
-28.0 0.0
-27.958333333333332 0.0
-27.916666666666668 0.0
-27.875 6.754931099702783e-06
-27.833333333333332 0.0
-27.791666666666668 1.3509862199405566e-05
-27.75 0.0
-27.708333333333332 6.754931099702783e-06
-27.666666666666668 0.0
-27.625 0.0
-27.583333333333332 0.0
-27.541666666666668 0.0
-27.5 0.0
-27.458333333333332 6.754931099702783e-06
-27.416666666666668 0.0
-27.375 0.0
-27.333333333333332 0.0
-27.291666666666668 0.0
-27.25 0.0
-27.208333333333332 1.3509862199405566e-05
-27.166666666666668 0.0
-27.125 0.0
-27.083333333333332 0.0
-27.041666666666668 0.0
-27.0 1.3509862199405566e-05
-26.958333333333332 6.754931099702783e-06
-26.916666666666668 0.0
-26.875 0.0
-26.833333333333332 0.0
-26.791666666666668 1.3509862199405566e-05
-26.75 0.0
